,Actual WAR,Hitters,Predicted WAR,Current_Age,Future_Age,MLB_Trans_ID
0,-0.23,Phil Cavarretta,1.8849511539223598,17.0,19.0,112146.0
1,0.01,Mike Morgan,0.48972942578902917,18.0,20.0,119374.0
2,-0.12,Bobby Henrich,1.241512170894123,18.0,20.0,115777.0
3,0.01,John Paciorek,1.4973037444038115,18.0,20.0,120156.0
4,-0.14,Art Houtteman,0.37689997195619585,18.0,20.0,116192.0
5,0.01,Tex Nelson,1.3592293589840014,19.0,21.0,119712.0
6,0.01,Ed Correa,0.5173509059049394,19.0,21.0,112697.0
7,0.01,Wilson Alvarez,0.5187576128798228,19.0,21.0,110209.0
8,3.74,Ray Schalk,2.7434739558394505,19.0,21.0,121766.0
9,-0.63,Oscar Gamble,1.3673307188697632,19.0,21.0,114558.0
10,0.01,John Cavanaugh,1.1265361523572723,19.0,21.0,112145.0
11,0.01,Gene Robertson,1.097887880485865,19.0,21.0,121290.0
12,0.51,Curt Flood,1.2888895804537701,19.0,21.0,114248.0
13,1.36,Milt Stock,1.2998142607821106,19.0,21.0,122809.0
14,0.01,Bud Black,1.1323183865796689,19.0,21.0,111039.0
15,1.01,Bobby Tolan,1.3127664271857886,19.0,21.0,123377.0
16,0.3,Christy Mathewson,0.7673420703422532,19.0,21.0,118422.0
17,0.01,Rick James,1.1894351962375511,19.0,21.0,116482.0
18,-0.23,Waite Hoyt,1.36241282100503,19.0,21.0,116241.0
19,0.01,Bobby Henrich,1.383262610708551,19.0,21.0,115777.0
20,0.01,Tracy Baker,0.5173509059049394,19.0,21.0,110490.0
21,0.03,Jose Rijo,0.6949313678229089,19.0,21.0,121206.0
22,0.01,Jim Bolger,0.968155940412017,19.0,21.0,111173.0
23,0.01,Mike Morgan,0.553599396533629,19.0,21.0,119374.0
24,0.01,Chick Evans,1.305591023386156,19.0,21.0,113934.0
25,0.01,Jay Porter,1.3101534568714936,19.0,21.0,120681.0
26,1.75,Boog Powell,1.2980939429878742,19.0,21.0,120719.0
27,0.05,Edwin Jackson,1.1323183865796689,19.0,21.0,429719.0
28,0.11,Mike Fornieles,1.0580680523662163,20.0,22.0,114314.0
29,0.01,Nat Hudson,3.4194170918371207,20.0,22.0,116266.0
30,0.0,Hector Fajardo,0.5274203759265325,20.0,22.0,113985.0
31,0.0,Hector Fajardo,0.5274203759265325,20.0,22.0,113985.0
32,1.61,John Briggs,2.812784987815553,20.0,22.0,111465.0
33,0.22,Bunny Brief,2.255888974369614,20.0,22.0,111460.0
34,-1.1,Derrel Thomas,1.0595195017393637,20.0,22.0,123242.0
35,-0.56,Toad Ramsey,1.0610004382590175,20.0,22.0,120919.0
36,0.01,Herb Hunter,2.7544752232085052,20.0,22.0,116333.0
37,0.01,Herb Hunter,2.7544752232085052,20.0,22.0,116333.0
38,1.07,Thad Bosley,2.8137588657736607,20.0,22.0,111251.0
39,0.01,John Flannery,1.0631669131256156,20.0,22.0,114219.0
40,4.62,Willie Randolph,1.059464289842114,20.0,22.0,120927.0
41,-0.25,Domingo Ramos,1.0160536302931458,20.0,22.0,120908.0
42,0.63,Jack Boyle,1.0555963658360061,20.0,22.0,111326.0
43,0.01,Lou Piniella,0.5223269711493889,20.0,22.0,120586.0
44,0.01,Ty Pickup,2.6704707701605983,20.0,22.0,120550.0
45,0.01,Dan Petry,0.5223269711493889,20.0,22.0,120476.0
46,0.55,Stan Javier,1.062972808081802,20.0,22.0,116506.0
47,0.09,Sid Fernandez,2.6830334526149238,20.0,22.0,114074.0
48,-0.54,Clete Boyer,0.668743831311756,20.0,22.0,111319.0
49,0.02,Alex Fernandez,0.5223269711493889,20.0,22.0,114073.0
50,0.59,Larry Whisenton,1.1245471921180343,20.0,22.0,124152.0
51,3.55,Rick Monday,1.0742735123205411,20.0,22.0,119246.0
52,2.45,Eddie Murphy,2.8149747141325054,20.0,22.0,119558.0
53,-0.04,Alfredo Griffin,1.8725132123830914,20.0,22.0,115137.0
54,0.01,Beauty McGowan,1.1080370018593841,20.0,22.0,118720.0
55,0.84,Eddie Miller,1.1245471921180343,20.0,22.0,119068.0
56,0.29,Mike Hampton,0.5227363409401506,20.0,22.0,115399.0
57,2.07,Eddie Miller,1.1025033163273952,20.0,22.0,119069.0
58,0.0,Yorman Bazardo,0.4717313178938555,20.0,22.0,434590.0
59,-0.02,Scott Garrelts,0.5274203759265325,20.0,22.0,114628.0
60,0.07,Miguel Garcia,0.5274203759265325,20.0,22.0,114590.0
61,0.07,Miguel Garcia,0.5274203759265325,20.0,22.0,114590.0
62,0.0,Denny O'Toole,0.5274203759265325,20.0,22.0,120114.0
63,0.0,Chad Gaudin,0.5223269711493889,20.0,22.0,429985.0
64,0.01,Gil Blanco,2.6555029396242635,20.0,22.0,111071.0
65,4.99,Rabbit Maranville,1.0098944541679256,20.0,22.0,118276.0
66,0.18,Waite Hoyt,1.2313321936684596,20.0,22.0,116241.0
67,3.19,Les Mann,1.0328911630228972,20.0,22.0,118241.0
68,-0.04,Bert Gallia,0.5274203759265325,20.0,22.0,114546.0
69,0.01,Eddie Onslow,1.3845126528106861,20.0,22.0,120034.0
70,-0.05,Cameron Maybin,1.1081612369499187,20.0,22.0,457727.0
71,0.01,Jim Beswick,1.1082382298329458,20.0,22.0,110954.0
72,0.01,Jim Ray,1.1245471921180343,20.0,22.0,120953.0
73,0.01,Fred Norman,1.1149608296596913,20.0,22.0,119837.0
74,0.05,Ed Nunez,0.5223269711493889,20.0,22.0,119866.0
75,0.01,John Hoffman,1.1233373396695936,20.0,22.0,116030.0
76,0.01,Ted Wilborn,1.1235002969569932,20.0,22.0,124252.0
77,2.22,Jose Cardenal,1.1001236401599406,20.0,22.0,111981.0
78,5.83,Chet Lemon,0.9977303715055534,20.0,22.0,117669.0
79,-0.17,Woody Woodward,0.5223269711493889,20.0,22.0,124571.0
80,0.01,David Clyde,0.529117986926701,20.0,22.0,112420.0
81,-0.14,Dick Coffman,2.6830334526149238,20.0,22.0,112445.0
82,-0.09,John Sowders,1.111308458986575,20.0,22.0,122553.0
83,0.65,Sammy Sosa,1.023289095878711,20.0,22.0,122544.0
84,0.65,Sammy Sosa,1.023289095878711,20.0,22.0,122544.0
85,0.01,Jim Woods,1.1164845710960327,20.0,22.0,124562.0
86,3.14,Ivan Rodriguez,2.8032171393815166,20.0,22.0,121358.0
87,4.32,Frank Robinson,2.8011100474172252,20.0,22.0,121311.0
88,2.24,Bill Buckner,1.0923295075321937,20.0,22.0,111663.0
89,6.52,Joe Kelley,2.0214095163373704,20.0,22.0,116926.0
90,6.52,Joe Kelley,2.0214095163373704,20.0,22.0,116926.0
91,0.2,Wilbur Cooper,1.1027044826703463,20.0,22.0,112649.0
92,1.93,Johnny Callison,1.132442956597631,20.0,22.0,111895.0
93,0.44,Lee Stine,0.6247739480190978,20.0,22.0,122802.0
94,0.02,Doyle Alexander,2.843006045716621,20.0,22.0,110124.0
95,-0.47,Dave LaPoint,0.5274203759265325,20.0,22.0,117495.0
96,-0.03,Scott Kazmir,0.5274203759265325,20.0,22.0,431148.0
97,-0.15,Ron Santo,2.8157881977705532,20.0,22.0,121697.0
98,0.01,Jack Salveson,2.4098213700960143,20.0,22.0,121643.0
99,-0.13,Dick Conway,0.8460987604361261,20.0,22.0,112612.0
